siren,name,naf,headcount,siteWeb,creationDate,Country Code
924326960,LE POISSON JAUNE,59.11B,1,,2023-11-24,FR
924331820,HER,85.59A,1,,2023-11-21,FR
947513529,GEOCADRE,71.12B,2,,2023-01-01,FR
947643904,THE ONE STUDIO,71.12B,1,,2023-01-01,FR
947756102,JARVI TECH,58.29C,1,,2023-01-09,FR
947757167,EMARQUET CONSULTING,82.99Z,1,,2023-01-03,FR
947772851,,,1,,2023-01-01,FR
947812145,AYANA FORMATION,85.59A,1,,2023-01-01,FR
947832580,KAPLI,58.29C,1,,2023-01-02,FR
947843942,DURO DAKOVIC MONTAZA FRANCE,71.12B,11,,2023-01-01,FR
947845590,ARCHIMED PERFORMANCE,71.12B,1,,2023-01-02,FR
947848503,JUST FORMATION,85.59A,1,,2023-01-03,FR
947852760,HYDROSITE,71.12B,1,,2023-01-03,FR
947853594,ALTERNANCE BASSE NORMANDIE,85.59A,2,,2023-01-03,FR
947855110,HEXADUS,71.12B,1,,2023-01-02,FR
947862066,ECOAXO,74.90A,2,,2023-01-01,FR
947862884,FACILITY BUSINESS OUTSOURCING,82.99Z,1,,2023-01-02,FR
947872834,330 AUDIO,71.12B,1,,2023-01-01,FR
947881637,PROJECT & PROGRAM MANAGEMENT CONSULTING,71.12B,1,,2023-01-04,FR
947892055,SKILLZFORMATION,85.59A,1,,2023-01-02,FR
947895009,VALORSITES,71.12B,1,,2023-01-01,FR
947895199,SECRA,82.99Z,1,,2023-01-02,FR
947901468,ADVICE SERVICE RPI,71.12B,1,,2023-01-03,FR
947903894,BUREAU D'ETUDES NDIAYE NDONGO,71.12B,1,,2023-01-03,FR
947913497,SOVDEVI,85.59A,1,,2023-01-02,FR
947915757,MYCUBE TRANSPORT,82.99Z,12,,2023-01-05,FR
947916425,ES BROADCAST HIRE,47.43Z,2,,2023-01-01,FR
947922183,GROUPE INFORMATIQUE ENVIRONNEMENTALE ET SOLIDAIRE (GROUPE IES),58.29C,12,,2023-01-05,FR
947923728,PROPAC FORMATION,85.59A,1,,2023-01-02,FR
947927075,PYRAMID-GEOTEC,71.12B,1,,2023-01-02,FR
947932513,SIGHT EXPLORE,71.12B,2,,2023-01-04,FR
947937025,ZJTECH,71.12B,1,,2023-01-01,FR
947963039,AURIGE INGENIERIE,71.12B,1,,2023-02-01,FR
947966602,ALMA CONSULTING - PRECISION ENGINEERING SERVICES,71.12B,1,,2023-01-09,FR
947967162,SFC,82.99Z,1,,2023-01-03,FR
947979423,TALCACORPORATION,59.11B,1,,2023-01-01,FR
947985081,LES BABADINES DE MEUNG-SUR-LOIRE,68.20B,2,,2023-01-09,FR
947987830,EAS'IA,58.29C,3,,2023-01-05,FR
948005020,,,1,,2023-01-10,FR
948032743,NEROUS,58.29C,1,,2023-01-06,FR
948034657,CRX AGENCEMENT,71.12B,1,,2023-01-03,FR
948034970,IKKI LEAGUE,58.29C,3,,2023-01-10,FR
948035860,ENERGESIA POSE,71.12B,2,,2023-01-12,FR
948037932,SER CONSULTING,82.99Z,1,,2023-01-05,FR
948040407,RECOMMANDE,58.29C,1,,2023-01-03,FR
948064480,STEEL DOCTOR,71.12B,1,,2023-01-02,FR
948070271,C.E.T.P. BL23,82.99Z,1,,2023-01-09,FR
948073168,QUALI'FORMATION,85.59A,2,,2023-01-12,FR
948079470,MAAT,71.12B,1,,2023-01-10,FR
948095211,FYO 67,85.59A,1,,2023-01-09,FR
948097951,NEOSITE,71.12B,12,,2023-01-12,FR
948105846,HELLO-HOTEL,82.99Z,1,,2023-01-14,FR
948119383,L'ŒIL JANVIER,58.29C,1,,2023-01-13,FR
948120480,CYRA,59.11B,1,,2023-01-05,FR
948128624,ACBAT,71.12B,1,,2023-01-11,FR
948130232,J&G SAS,71.12B,1,,2023-01-05,FR
948130240,TDB CREATION,58.29C,1,,2023-01-09,FR
948131032,GD INGENIEUR CONSEIL,71.12B,1,,2023-01-16,FR
948137047,THJA3D,71.12B,1,,2023-01-23,FR
948138128,OV OPC,71.12B,1,,2023-01-16,FR
948139613,GMT CONSEIL,71.12B,1,,2023-01-03,FR
948143185,N.P.C SAS,71.12B,1,,2023-01-16,FR
948149562,ESWIT,58.29C,2,,2023-01-16,FR
948157268,STUDIO CAPUCHE,59.11B,1,,2023-01-14,FR
948166004,HPTD CONSULTING,82.99Z,1,,2023-01-13,FR
948186721,AIX'PRESS,82.99Z,2,,2023-01-11,FR
948199401,HUMRIG,58.29C,1,,2023-01-02,FR
