company_name,registry_id,trade_name,activity_code,legal_form_code,employee_band,employee_estimate,company_category,founded_date,city,address,confidence,composite_score,rank,match_keyword,website,linkedin,linkedin_followers,qa_status
"D'AIR DRONE","934628470","","43.34Z","5499","NN","","","2024-06-18","","","medium","60","302","","","","","pending"
"HYDRONET ASSAINISSEMENT","934833534","","43.12A","5710","NN","","","2024-10-29","","","medium","60","303","","","","","pending"
"ARADRONE","938993607","","45.11Z","5710","NN","","","2024-12-27","","","medium","60","304","","","","","pending"
"METHODRONE DEVELOPPEMENT","939636882","","77.40Z","5710","NN","","","2025-01-06","","","medium","60","305","","","","","pending"
"DRONE PLEIN SUD","939975959","","00.00Z","5499","NN","","","2025-01-02","","","medium","60","306","","","","","pending"
"DRONET","939979225","","43.39Z","5499","NN","","","2025-02-01","","","medium","60","307","","","","","pending"
"TOPO DRONE SBH","940176548","","71.12A","5710","NN","","","2025-01-08","","","medium","60","308","","","","","pending"
"AH DRONE","941180580","","26.11Z","5710","NN","","","2025-02-19","","","medium","60","309","","","","","pending"
"IDEAL DRONE","941456584","","01.61Z","5710","NN","","","2025-02-27","","","medium","60","310","","","","","pending"
"DRONE COM KARAIB","941580847","","58.14Z","5710","NN","","","2025-02-17","","","medium","60","311","","","","","pending"
"DRONE PRECISION MAYENNAIS","941717639","","01.61Z","5499","NN","","","2025-03-05","","","medium","60","312","","","","","pending"
"SONODRONE","941791030","","90.02Z","5710","NN","","","2025-02-20","","","medium","60","313","","","","","pending"
"VISUDRONE","942488412","","71.12A","5710","NN","","","2025-03-26","","","medium","60","314","","","","","pending"
"METHODRONE HOLDING","942872623","","70.10Z","5710","NN","","","2025-03-27","","","medium","60","315","","","","","pending"
"ALTUS DRONES GROUP","943161521","","82.11Z","5710","NN","","","2025-04-10","","","medium","60","316","","","","","pending"
"METHODRONE DISTRIBUTION","944229202","","47.91A","5710","NN","","","2025-05-06","","","medium","60","317","","","","","pending"
"DEPART DRONE 78","945335040","","81.29A","5710","NN","","","2025-05-30","","","medium","60","318","","","","","pending"
"DRONE FRANCE","947744025","","81.29A","5710","NN","","PME","2022-12-16","","","medium","60","319","","","","","pending"
"SIDRONE","949268833","","82.11Z","5710","NN","","PME","2023-01-26","","","medium","60","320","","","","","pending"
"CIDRONEL","949280846","","70.10Z","5710","NN","","PME","2023-02-21","","","medium","60","321","","","","","pending"
"DRONE DE DOME","953322427","","82.99Z","5499","NN","","PME","2023-06-06","","","medium","60","322","","","","","pending"
"SAN PEDRONE","953812310","","46.39B","5710","NN","","PME","2023-05-25","","","medium","60","323","","","","","pending"
"RTK DRONE","953914363","","45.32Z","5710","NN","","PME","2023-06-09","","","medium","60","324","","","","","pending"
"ANTILLES GUYANE DRONE CONCEPT","980279319","","00.00Z","5499","NN","","","2023-10-01","","","medium","60","325","","","","","pending"
"MA TOPO DRONE","980564751","","71.12A","5710","NN","","PME","2023-06-01","","","medium","60","326","","","","","pending"
"TOPODRONE SOLUTION","982463044","","71.12A","5710","NN","","PME","2023-12-12","","","medium","60","327","","","","","pending"
"TOWER DRONE","983116948","","52.23Z","5710","NN","","PME","2023-12-04","","","medium","60","328","","","","","pending"
"SPACEDRONE-DATALINK","984920736","","72.19Z","5710","NN","","","2024-03-15","","","medium","60","329","","","","","pending"
"ZONE DE DRONE","989346648","","00.00Z","5499","NN","","","2025-07-15","","","medium","60","330","","","","","pending"
"DRONE BY NATURE","990152357","","63.12Z","5710","NN","","","2025-08-05","","","medium","60","331","","","","","pending"
"DRONE AGRI CORSE","990871899","","01.61Z","5710","NN","","","2025-08-28","","","medium","60","332","","","","","pending"
"BV-DRONE","992003087","","01.61Z","5710","NN","","","2025-09-25","","","medium","60","333","","","","","pending"
"ALPHA DRONE OPERATION","992341578","","00.00Z","5499","NN","","","2025-09-18","","","medium","60","334","","","","","pending"
"SKYDRONE INVEST","993762509","","70.10Z","5710","NN","","","2025-10-31","","","medium","60","335","","","","","pending"
"SKYDRONE CAPITAL","994672053","","70.10Z","5710","NN","","","2025-11-27","","","medium","60","336","","","","","pending"
"BRUDRONE","995192622","","74.10Z","5710","NN","","","2025-12-02","","","medium","60","337","","","","","pending"
"USINAGE-CHAUDRONERIE-SOUDURE","995286929","","25.62B","5499","NN","","","2026-01-12","","","medium","60","338","","","","","pending"
"ECODRONE3D","999684145","","43.99A","5499","NN","","","2026-01-09","","","medium","60","339","","","","","pending"
"COMMUNE DE SAINT MEARD DE DRONE","212404602","","84.11Z","7210","03","","PME","1980-01-01","","","low","55","340","","","","","pending"
"COMMUNE DE SAINT PARDOUX DE DRONE","212404776","","84.11Z","7210","03","","PME","1980-01-01","","","low","55","341","","","","","pending"
"CENTRE D'INNOVATION DRONES NORMANDIE","908721087","","72.19Z","9220","NN","","","2021-06-24","","","low","55","342","","","","","pending"
"DRONEAID COLLECTIVE","100849330","","94.12Z","9220","NN","","","2026-01-15","","","low","50","343","","","","","pending"
"SYN-DRONE PRODUCTION","101720696","","90.01Z","9220","NN","","","2026-02-16","","","low","50","344","","","","","pending"
"SCI DES ANDRONES","332813369","","55.10Z","6599","NN","","PME","1985-06-01","","","low","50","345","","","","","pending"
"DRONET","341050938","DRONET","55.3A","1000","NN","","","1987-05-01","","","low","50","346","","","","","pending"
"CEDRONE","342070711","CEDRONE","86.90E","1000","NN","","PME","1987-08-03","","","low","50","347","","","","","pending"
"DRONEAU","354087215","DRONEAU","01.2A","1000","NN","","","1989-01-01","","","low","50","348","","","","","pending"
"SC DES ANDRONES","380878991","","66.30Z","6599","NN","","PME","1991-02-23","","","low","50","349","","","","","pending"
"DRONES","381852664","","91.3E","9220","NN","","","1989-10-24","","","low","50","350","","","","","pending"
"GAEC DRONET","391931425","","01.42Z","6533","NN","","","1993-07-01","","","low","50","351","","","","","pending"
"SCI CLAIRE DRONEAU","403304553","","70.2C","6540","NN","","","1995-11-15","","","low","50","352","","","","","pending"
"DRONET","442196630","DRONET","47.81Z","1000","NN","","PME","2002-04-03","","","low","50","353","","","","","pending"
"DRONE OVER","448564245","","90.01Z","9220","NN","","","2003-04-25","","","low","50","354","","","","","pending"
"DRONEAU","481301539","DRONEAU","88.99B","1000","NN","","PME","2005-03-01","","","low","50","355","","","","","pending"
"DRONEAU","511435075","DRONEAU","01.11Z","1000","NN","","","2009-03-06","","","low","50","356","","","","","pending"
"CIE SANDRONE ET ARTIFICES","529902884","","90.01Z","9220","NN","","","2010-07-22","","","low","50","357","","","","","pending"
"ASSOCIATION DRONE SWEET DRONE","537482481","","59.20Z","9220","NN","","","2011-06-07","","","low","50","358","","","","","pending"
"DRONET","789573359","DRONET","14.13Z","1000","NN","","PME","2012-12-01","","","low","50","359","","","","","pending"
"POWELL BODRONE","795382225","POWELL BODRONE","86.90D","1000","NN","","PME","2013-09-23","","","low","50","360","","","","","pending"
"FEDERATION PROFESSIONNELLE DU DRONE CIVIL U1/2 FPDC","800428799","","94.12Z","9220","NN","","PME","2013-06-27","","","low","50","361","","","","","pending"
"DRONE TEMPLE","814470050","","90.01Z","9220","NN","","","2014-12-13","","","low","50","362","","","","","pending"
"SQUADRONE VOLANTE","821645306","","82.30Z","9220","NN","","","2016-07-20","","","low","50","363","","","","","pending"
"DRONEAU","822860250","DRONEAU","86.90E","1000","NN","","PME","2016-10-03","","","low","50","364","","","","","pending"
"DRUMS AND DRONES","877975144","","90.02Z","9220","NN","","","2019-09-15","","","low","50","365","","","","","pending"
"DRONES MUSIC ASSOCIATION","881796031","","90.01Z","9220","NN","","","2016-08-31","","","low","50","366","","","","","pending"
"UNION NATIONALE DES EXPLOITANTS ET DES PROFESSIONNELS DE L'AERONAUTIQUE TELEPILOTEE","889361150","","94.12Z","9220","NN","","","2015-02-26","","","low","50","367","","","","","pending"
"RECHERCHE, ASSISTANCE, INVESTIGATION PAR DRONES RAID","889504742","","84.25Z","9220","NN","","","2017-04-11","","","low","50","368","","","","","pending"
"MALANDRONE","911674539","MALANDRONE","14.13Z","1000","NN","","PME","2022-03-03","","","low","50","369","","","","","pending"
"SC DES ANDRONES 2","922177936","","66.30Z","6599","NN","","PME","2022-12-07","","","low","50","370","","","","","pending"
"SC DES ANDRONES 3","922402037","","66.30Z","6599","NN","","PME","2022-12-07","","","low","50","371","","","","","pending"
"OTO DRONE & COM","924522634","","70.21Z","9220","NN","","","2024-01-04","","","low","50","372","","","","","pending"
"2 RUE CLAIRE DRONEAU","929949618","","55.20Z","2110","NN","","","2024-01-01","","","low","50","373","","","","","pending"
"FORENSIC DRONE RESEARCH","930963202","","72.19Z","9220","NN","","","2024-07-05","","","low","50","374","","","","","pending"
"GEODRONE57","931392963","","63.99Z","9220","NN","","","2024-03-18","","","low","50","375","","","","","pending"
"DRONE ACCES","931961668","","82.99Z","6220","NN","","","2024-06-01","","","low","50","376","","","","","pending"
"QR'DRONE","982209892","QR'DRONE","52.24B","1000","NN","","PME","2023-12-04","","","low","50","377","","","","","pending"
"DRONEAU","983225731","DRONEAU","85.52Z","1000","NN","","","2024-01-08","","","low","50","378","","","","","pending"
