id,name,normalized_name,region,type,website,country,notes,last_synced_at,created_at,linkedin
0131e027-c4b3-4108-b24b-969b92a10f1b,Droniq,droniq,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 14:48:38.25614+00,null
e882b06e-f125-437d-940d-bdfa735d442b,DroneStars,dronestars,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 14:48:38.25614+00,null
159c0fcd-3e13-422f-88b3-12e7326c6cf4,DroneBase,dronebase,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 14:48:38.25614+00,null
46ff705d-38a2-4343-89cc-9a2e68cd00ba,Skydata Finland,skydata finland,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
2e83a5b2-71d6-4a3f-919d-5b0864170951,Droprise,droprise,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
313ca425-6bba-44f9-87f7-79cb224a09bf,Securitas Spain,securitas spain,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
ba942de6-1220-49e2-aa4f-2e7de1c5b9b0,Wolf Avionic,wolf avionic,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
3387e7ce-8370-460a-9a85-8e7b92b76cdd,AI View Group,ai view,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
f606c89f-126f-469f-89c4-5ec428a131a4,Geodirect,geodirect,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
1bfaf9ed-34ea-4df4-a659-9216f5a113f9,ADESCO,adesco,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
2c82dd86-5d76-4035-9851-67d6abd8e3b3,GeoAerospace,geoaerospace,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
03d9c05a-9e5c-4569-a065-4dd233a9ef64,Navigate,navigate,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
68654e8d-43e6-4778-b70b-dda611c0c12f,UAVONIC,uavonic,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
3be5c335-9891-4251-817f-1cccb8df4809,Groupe Protec,groupe protec,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
885087ee-b62d-4fdf-8609-ecef877e79c1,Zephyr UAS,zephyr uas,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
75639b0b-8050-4e05-a25d-36322bc52501,DroneLand,droneland,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
1c6a2981-2a1b-43ae-8d9f-7e6ab033aa66,Aerial Solutions,aerial,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
8d69f255-bd22-4710-93d9-b403d86c3e69,SkylineDrones Romania,skylinedrones romania,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
79baf80e-322b-4a36-84f0-01b7ef947f50,Megadron Poland,megadron poland,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
64702344-e309-4031-a04b-a0a3fe1f11bb,Dronshop Romania,dronshop romania,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
baef2311-c872-4601-b9bd-4753d481aac6,Cybrid Thrust,cybrid thrust,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
eb2272e0-89f5-4920-93bf-e99eb6f10e84,Agrodrones Latvia,agrodrones latvia,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
a929ab26-ec27-4d2c-a7e2-9977f48d456f,Drone2B,drone2b,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
dd561f1d-5a32-4045-a0fc-f445675f9b1a,Coptrz,coptrz,Europe,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
