id,keywords,sources,regions,filter_days,min_score,max_articles,status,articles_fetched,articles_stored,dedup_removed,created_at,completed_at,campaign
run_202603171757274,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,144,11,133,2026-03-17 17:57:30.739+00,2026-03-17 17:57:30.739+00,dsp_6mo_sweep
run_202603171758110,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,144,11,133,2026-03-17 17:58:14.795+00,2026-03-17 17:58:14.795+00,dsp_6mo_sweep
run_202603171758215,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,199,18,181,2026-03-17 17:58:25.042+00,2026-03-17 17:58:25.042+00,dsp_6mo_sweep
run_202603171800081,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,199,17,182,2026-03-17 18:00:11.886+00,2026-03-17 18:00:11.886+00,dsp_6mo_sweep
run_202603171800577,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,50,5,45,2026-03-17 18:01:01.266+00,2026-03-17 18:01:01.266+00,dsp_6mo_sweep
run_202603171801186,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,52,5,47,2026-03-17 18:01:22.304+00,2026-03-17 18:01:22.304+00,dsp_6mo_sweep
run_202603171801343,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,112,11,101,2026-03-17 18:01:37.948+00,2026-03-17 18:01:37.948+00,dsp_6mo_sweep
run_202603171802211,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,112,11,101,2026-03-17 18:02:24.806+00,2026-03-17 18:02:24.806+00,dsp_6mo_sweep
run_202603171802328,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,159,13,146,2026-03-17 18:02:36.207+00,2026-03-17 18:02:36.207+00,dsp_6mo_sweep
run_202603171803280,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,159,13,146,2026-03-17 18:03:31.773+00,2026-03-17 18:03:31.773+00,dsp_6mo_sweep
run_202603171804178,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,80,9,71,2026-03-17 18:04:21.299+00,2026-03-17 18:04:21.299+00,dsp_6mo_sweep
run_202603171804428,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,80,9,71,2026-03-17 18:04:46.407+00,2026-03-17 18:04:46.407+00,dsp_6mo_sweep
run_202603171805132,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,184,12,172,2026-03-17 18:05:16.846+00,2026-03-17 18:05:16.846+00,dsp_6mo_sweep
run_202603171806359,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,184,12,172,2026-03-17 18:06:39.51+00,2026-03-17 18:06:39.51+00,dsp_6mo_sweep
run_202603171806495,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,48,4,44,2026-03-17 18:06:52.644+00,2026-03-17 18:06:52.644+00,dsp_6mo_sweep
run_202603171809208,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,48,4,44,2026-03-17 18:09:24.803+00,2026-03-17 18:09:24.803+00,dsp_6mo_sweep
run_202603171810482,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,24,4,20,2026-03-17 18:10:51.491+00,2026-03-17 18:10:51.491+00,dsp_6mo_sweep
run_202603171811416,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,27,4,23,2026-03-17 18:11:44.744+00,2026-03-17 18:11:44.744+00,dsp_6mo_sweep
run_202603171812109,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,72,7,65,2026-03-17 18:12:14.563+00,2026-03-17 18:12:14.563+00,dsp_6mo_sweep
run_202603171814091,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,72,7,65,2026-03-17 18:14:12.856+00,2026-03-17 18:14:12.856+00,dsp_6mo_sweep
run_202603171814389,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,81,8,73,2026-03-17 18:14:41.921+00,2026-03-17 18:14:41.921+00,dsp_6mo_sweep
