Company Name,Responsible Person
National Grid Aviation Department,Jon Thies
Matt Bowen,Matt Bowen
Jonathan Quinones,Jonathan Quinones
Rex Jameson,Rex Jameson
Anibal R Soto Anglada,Anibal Soto Anglada
Aerial Illuminations,Niro Senanayake
"Titan Monitoring, Inc.",Thomas Keary
New York Power Authority,Peter Kalaitzidis
HF Sinclair,Raymond Debita
Matthew Stott,Matthew Stott
Saeid Zare,Saeid Zare
Pedro Hernandez,Pedro Hernandez
Frazer Stone,Frazer Stone
Vyanet Operating Group Inc,Charles Karlewicz
Arch Aerial LLC,Julien Alameda
ResilienX Inc.,Angelo Niforatos
"Douglas County Search and Rescue Team, Inc.",Darren Keralla
Advance Entertainment Technologies Inc.,Joseph Suehle
Leidos Inc,Clarence Shockley
Zachary Pruitt,Zachary Pruitt
SwRI - Division 11,Kristen Feight
"LandSkyAI, LLC",Camryn Huff
Raptor Maps Inc.,Andre Louis-Ferdinand
USAR Aerial Arts,Michael Parziale
Alexander Domac,Alexander Domac
Buck Maher,Buck Maher
Jason Toreson,Jason Toreson
Central Arkansas Drone Services LLC,Jerry Youngblood
Minooka Fire Protection District,Matthew Feinberg
"SkyReach Drones, LLC",Ryan White
Bryce Allcorn,Bryce Allcorn
Wiggins Family LLC,Joseph Wiggins
Level Ascent Solutions LLC,Heather Moran
Brett Ratliff,Brett Ratliff
Lyondellbasell,Bryan Salazar
Marc Crawford,Marc Crawford
HSV MW,Nathaniel Forton
Victor Lee,Victor Lee
Sky Elements LLC,Preston Ward
Sky Elements LLC,Preston Ward
American Water,Edward Beckendorf
Orion Skys LLC,Kervin Lareche
Hunter Heimburger,Hunter Heimburger
Christian Villa,Christian Villa
"FlyRoute, LLC",Collin Caffrey
Christopher Smith,Christopher Smith
Timothy Kenny,Timothy Kenny
HF Sinclair,Ezekiel Naifeh
Carl Sporie,Carl Sporie
Cedar Valley High School,Alex Robinson
Austin Butler,Austin Butler
Arkansas Energy and Environment,Jeremy Ramsey
Granite Defense Technologies,Tom Prentice
Airspace Link,Alberto Post
Prince William County Police Department,Samuel Dixon
BLISSdrones,Tyler Bell
Union County Emergency Management,Lee Brannon
Anthony Sam,Anthony Sam
Piedmont Police Department,Michael Clark
Milam County Sheriff's Office,John Helenberg
Racine Police Department,Jacob Ulickey
Commissioners of Public Works of the City of Greenville,Brad Treas
Leidos Inc,Clarence Shockley
ISAR Services,Clarence Shockley
Grand Sky Airfield Operations LLC,Aaron Sykes
Bryce Allcorn,Bryce Allcorn
GBR Drone and Robotics Team (DART),Noel Silva
ISight Drone Services,Jackson Frankenhoff
Addieville Community Fire Protection District,Daniel Savard
Firmatek Team,Lauren Morin
Overhead Intelligence,Roger ONeill
NiSource Corporate Services Company,Bryan Buchelt
Zipline International Inc.,Michael Rigby
Crawfordsville Police Department,Luke McVay
New York City Office of Technology & Innovation,Charles Watts
2A Tactical,Robert Russell
Netarts Oceanside RFPD,Jeff McBrayer
Hex Inc.,Curtis Lary
White Castle Roofing & Contracting,Alex Rourke
Josh Ward,Josh Ward
Justin Padgett,Justin Padgett
Benjamin Buller,Benjamin Buller
Sara McAllister,Sara McAllister
Stephen Arnold,Stephen Arnold
Robert George St. Martin,Robert St. Martin
Firmatek Team,Lauren Morin
Watchung Police Department,Sherif Zaiton
LJA,Robert Wilhite
BGE UAS,Andrew McCauley
FundacionPPPCoronavirus Inc / PRLLasAmericas Inc.,Nelson Traverso
Public Service Company of New Mexico,Jacob Guin
Kennecott Utah Copper LLC,Dylan Bloechel
