rank,composite_score,siren,company_name,naf_code,employee_band,open_establishments,city,postal_code,address,created,category,latitude,longitude
40,24,883116220,DRONE REPONSE SECURITE (DRS),80.20Z,NN,1,LORIENT,56100,CENTRE D'AFFAIRES LORIENT MER 1 RUE HONORE D'ESTIENNE D'ORVES 56100 LORIENT,2020-03-03,PME,47.732754,-3.374809
41,24,819496431,DRONE MULTI SERVICES (DMS),59.11B,NN,1,CASE-PILOTE,97222,ENSEMBLE VETIVER FOND BOURLET 97222 CASE-PILOTE,2016-04-30,PME,14.638937,-61.128355
42,24,810518233,DRONE ECO SERVICES,59.11B,NN,1,ANNEMASSE,74100,24 RUE DE L’ILE-DE-FRANCE 74100 ANNEMASSE,2015-03-01,PME,46.189951,6.248143
43,24,951515907,INTERNATIONAL DRONE SERVICES,71.12B,NN,1,LE PLESSIS-BELLEVILLE,60330,5 AVENUE GEORGES BATAILLE 60330 LE PLESSIS-BELLEVILLE,2023-05-01,PME,49.095155,2.754051
44,24,884081068,AIR DRONE MULTISERVICES SASU,74.20Z,NN,1,RIVIERE-SALEE,97215,QUA LA HAUT CHEMIN LAURENT 97215 RIVIERE-SALEE,2020-04-01,PME,14.523685,-60.960658
45,24,528112683,JEAN-PHILIPPE LOPEZ (JPL SERVICES),74.20Z,NN,1,SAINT-FELIU-D'AVALL,66170,2 AVENUE DU LANGUEDOC 66170 SAINT-FELIU-D'AVALL,2010-11-03,PME,42.679849,2.748523
46,24,898061346,MICHEL JANSSENS (M DRONE SERVICES),74.20Z,NN,1,JUZIERS,78820,137 AVENUE DE PARIS 78820 JUZIERS,2021-04-06,PME,48.989484,1.844898
47,24,823210216,DIDIER BARDY (DRONE INSPECTION),74.20Z,NN,1,SAUVIAN,34410,17 CHEMIN DU MUSCAT D’HERAIL 34410 SAUVIAN,2016-09-19,PME,43.287569,3.25751
48,24,887680437,OV-SERVICES (OV-DRONE),43.21A,NN,1,CHATILLON,92320,4 VILLA LA MESIE 92320 CHATILLON,2020-07-28,PME,48.8046,2.2946
49,24,823961255,GAUTHIER BONAREWITZ (ORBITALE DRONE SERVICES),74.20Z,NN,1,ARBOIS,39600,65 GRANDE RUE 39600 ARBOIS,2016-11-01,PME,46.903907,5.771933
50,24,850062126,DAMIEN BARATON (DRONE VISION SERVICES),74.20Z,NN,1,SAINTE-CECILE,85110,3 RUE DE LA BASCULE 85110 SAINTE-CECILE,2019-02-01,PME,46.743533,-1.114123
